;Name;Platform;Year_of_Release;Genre;Publisher;NA_players;EU_players;JP_players;Other_players;Global_players;Critic_Score;Critic_Count;User_Score;User_Count;Developer;Rating;console;alcohol_reference;animated_blood;blood;blood_and_gore;cartoon_violence;crude_humor;drug_reference;fantasy_violence;intense_violence;language;lyrics;mature_humor;mild_blood;mild_cartoon_violence;mild_fantasy_violence;mild_language;mild_lyrics;mild_suggestive_themes;mild_violence;no_descriptors;nudity;partial_nudity;sexual_content;sexual_themes;simulated_gambling;strong_janguage;strong_sexual_content;suggestive_themes;use_of_alcohol;use_of_drugs_and_alcohol;violence;esrb_rating
18;Just Dance;Wii;2009;Misc;Ubisoft;3.48;2.99;0.0;0.73;7.2;49.0;21.0;8.0;110.0;Ubisoft Paris;E10+;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
20;Red Dead Redemption;PS3;2010;Action;Take-Two Interactive;2.79;2.53;0.17;0.99;6.49;95.0;73.0;8.8;2456.0;Rockstar San Diego;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;M
21;Assassin's Creed III;PS3;2012;Action;Ubisoft;2.64;2.52;0.16;1.12;6.45;85.0;41.0;6.9;1307.0;Ubisoft;M;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;M
22;The Elder Scrolls V: Skyrim;X360;2011;Role-Playing;Bethesda Softworks;5.05;2.79;0.1;0.85;8.79;96.0;89.0;8.4;3589.0;Bethesda Game Studios;M;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;M
23;Kingdom Hearts;PS2;2002;Role-Playing;Sony Computer Entertainment;3.64;1.2;1.49;0.07;6.4;85.0;46.0;8.8;597.0;SquareSoft;E;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ET
24;Red Dead Redemption;PS3;2010;Action;Take-Two Interactive;2.79;2.53;0.17;0.99;6.49;95.0;73.0;8.8;2456.0;Rockstar San Diego;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;M
25;Driver;PS;1999;Action;GT Interactive;3.11;2.8;0.02;0.33;6.27;87.0;22.0;8.1;78.0;Reflections Interactive;T;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;E
26;Metal Gear Solid 2: Sons of Liberty;PS2;2001;Action;Konami Digital Entertainment;2.45;2.01;0.87;0.72;6.05;96.0;42.0;8.7;1026.0;KCEJ;M;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
28;The Last of Us;PS3;2013;Action;Sony Computer Entertainment Europe;2.41;2.18;0.28;0.99;5.87;95.0;98.0;9.1;8003.0;Naughty Dog;M;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;M
29;Resident Evil 2;PS;1998;Action;Virgin Interactive;1.88;1.47;2.02;0.45;5.82;89.0;13.0;9.2;364.0;Capcom;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;M
30;Destiny;PS4;2014;Shooter;Activision;2.49;2.07;0.16;0.92;5.64;76.0;95.0;6.1;5380.0;Bungie Software, Bungie;T;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;T
31;Cooking Mama;DS;2006;Simulation;505 Games;3.07;1.91;0.07;0.57;5.63;67.0;35.0;7.2;21.0;Taito Corporation;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
33;Assassin's Creed II;PS3;2009;Action;Ubisoft;2.54;1.93;0.21;0.86;5.55;91.0;70.0;8.6;1202.0;Ubisoft Montreal;M;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;M
34;Assassin's Creed;X360;2007;Adventure;Ubisoft;3.28;1.64;0.07;0.56;5.54;81.0;77.0;7.7;1074.0;Ubisoft Montreal;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;M
35;Grand Theft Auto V;PS3;2013;Action;Take-Two Interactive;7.02;9.09;0.98;3.96;21.04;97.0;50.0;8.2;3994.0;Rockstar North;M;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;M
36;Final Fantasy XIII;PS3;2009;Role-Playing;Square Enix;1.74;1.21;1.87;0.51;5.33;83.0;83.0;7.3;2483.0;Square Enix;T;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;M
37;Final Fantasy IX;PS;2000;Role-Playing;SquareSoft;1.62;0.77;2.78;0.14;5.3;94.0;22.0;8.9;779.0;SquareSoft;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;T
38;Assassin's Creed III;PS3;2012;Action;Ubisoft;2.64;2.52;0.16;1.12;6.45;85.0;41.0;6.9;1307.0;Ubisoft;M;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;M
40;Assassin's Creed II;PS3;2009;Action;Ubisoft;2.54;1.93;0.21;0.86;5.55;91.0;70.0;8.6;1202.0;Ubisoft Montreal;M;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;M
43;Professor Layton and the Curious Village;DS;2007;Puzzle;Nintendo;1.21;2.43;1.03;0.52;5.19;85.0;72.0;8.6;147.0;Level 5;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
45;Resident Evil;PS;1996;Action;Virgin Interactive;2.05;1.16;1.11;0.73;5.05;91.0;8.0;9.0;266.0;Capcom;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;M
46;Grand Theft Auto: Vice City Stories;PSP;2006;Action;Take-Two Interactive;1.7;1.99;0.16;1.18;5.03;86.0;50.0;8.0;150.0;Rockstar Leeds;M;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;M
47;Tony Hawk's Pro Skater;PS;1999;Sports;Activision;3.42;1.38;0.02;0.2;5.02;92.0;18.0;9.2;69.0;Neversoft Entertainment;T;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;T
48;Link's Crossbow Training;Wii;2007;Shooter;Nintendo;3.05;1.17;0.29;0.46;4.98;68.0;34.0;7.1;47.0;Nintendo;T;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;E
49;Assassin's Creed;X360;2007;Adventure;Ubisoft;3.28;1.64;0.07;0.56;5.54;81.0;77.0;7.7;1074.0;Ubisoft Montreal;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;M
50;God of War III;PS3;2010;Action;Sony Computer Entertainment;2.74;1.33;0.12;0.61;4.8;92.0;101.0;8.7;2633.0;SCE Santa Monica;M;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;M
51;Crash Team Racing;PS;1999;Racing;Sony Computer Entertainment;2.57;1.57;0.44;0.21;4.79;88.0;20.0;9.0;233.0;Naughty Dog;E;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ET
52;The Last of Us;PS3;2013;Action;Sony Computer Entertainment Europe;2.41;2.18;0.28;0.99;5.87;95.0;98.0;9.1;8003.0;Naughty Dog;M;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;M
54;Tomb Raider;PS;1996;Action;Eidos Interactive;2.29;1.97;0.13;0.24;4.63;91.0;13.0;8.6;147.0;Core Design Ltd.;T;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;M
57;Madden NFL 2005;PS2;2004;Sports;Electronic Arts;4.18;0.26;0.01;0.08;4.53;91.0;30.0;7.9;78.0;EA Tiburon;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
58;Spider-Man: The Movie;PS2;2002;Action;Activision;2.71;1.51;0.03;0.23;4.48;76.0;25.0;7.9;41.0;Treyarch;E;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;T
60;God of War;PS2;2005;Action;Sony Computer Entertainment;2.71;1.29;0.02;0.43;4.45;94.0;75.0;8.9;997.0;SCE Santa Monica;M;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;M
62;Michael Jackson: The Experience;Wii;2010;Misc;Ubisoft;2.64;1.33;0.01;0.39;4.36;56.0;37.0;8.3;31.0;Ubisoft Paris, Ubisoft Montpellier;E10+;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
65;Daxter;PSP;2006;Platform;Sony Computer Entertainment;2.45;1.01;0.0;0.75;4.21;85.0;59.0;8.7;109.0;Ready at Dawn;E10+;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;ET
66;Madden NFL 2003;PS2;2002;Sports;Electronic Arts;3.36;0.21;0.01;0.56;4.14;95.0;25.0;7.7;65.0;EA Sports;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
67;Half-Life;PC;1997;Shooter;Vivendi Games;4.03;0.0;0.09;0.0;4.12;96.0;24.0;9.1;3161.0;Valve Software;M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
68;God of War II;PS2;2007;Action;Sony Computer Entertainment;2.32;0.04;0.04;1.67;4.07;93.0;70.0;8.9;709.0;SCE Santa Monica;M;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;M
69;Carnival Games;Wii;2007;Misc;Take-Two Interactive;2.12;1.47;0.05;0.42;4.05;56.0;27.0;6.0;44.0;Cat Daddy Games;E;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ET
70;Watch Dogs;PS4;2014;Action;Ubisoft;1.4;1.9;0.11;0.64;4.05;80.0;80.0;6.3;2996.0;Ubisoft Montreal;M;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;M
72;Professor Layton and the Diabolical Box;DS;2007;Puzzle;Nintendo;0.9;1.76;0.92;0.37;3.94;84.0;65.0;8.8;72.0;Level 5;E10+;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
73;The Elder Scrolls V: Skyrim;X360;2011;Role-Playing;Bethesda Softworks;5.05;2.79;0.1;0.85;8.79;96.0;89.0;8.4;3589.0;Bethesda Game Studios;M;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;M
75;Tom Clancy's The Division;PS4;2016;Shooter;Ubisoft;1.35;1.7;0.15;0.6;3.8;80.0;64.0;7.0;2219.0;Massive Entertainment;M;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;M
77;Harry Potter and the Sorcerer's Stone;PS;2001;Action;Electronic Arts;1.37;2.0;0.14;0.22;3.73;64.0;11.0;7.5;41.0;Argonaut Games;E;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;M
81;Star Wars: Battlefront;PS2;2004;Shooter;LucasArts;1.93;1.22;0.03;0.44;3.61;82.0;36.0;8.7;142.0;Pandemic Studios;T;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;T
82;The Simpsons: Road Rage;PS2;2001;Racing;Electronic Arts;2.02;1.17;0.0;0.42;3.61;64.0;23.0;7.7;32.0;Fox Interactive;T;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
83;Star Wars: Battlefront II;PS2;2005;Shooter;LucasArts;2.18;1.02;0.03;0.37;3.59;84.0;30.0;9.0;268.0;Pandemic Studios;T;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;T
85;Borderlands;X360;2009;Shooter;Take-Two Interactive;2.4;0.71;0.03;0.29;3.44;84.0;83.0;8.2;715.0;Gearbox Software;M;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;M
86;Destiny;PS4;2014;Shooter;Activision;2.49;2.07;0.16;0.92;5.64;76.0;95.0;6.1;5380.0;Bungie Software, Bungie;T;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;T
87;Far Cry 3;PS3;2012;Shooter;Ubisoft;0.88;1.7;0.1;0.67;3.35;90.0;32.0;8.5;1041.0;Ubisoft Montreal;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;M
88;Professor Layton and the Unwound Future;DS;2008;Puzzle;Nintendo;0.6;1.57;0.82;0.27;3.26;86.0;62.0;9.2;111.0;Level 5;E10+;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
90;God of War: Chains of Olympus;PSP;2008;Action;Sony Computer Entertainment;1.48;1.0;0.04;0.66;3.18;91.0;79.0;8.6;565.0;Ready at Dawn;M;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;M
91;L.A. Noire;PS3;2011;Adventure;Take-Two Interactive;1.27;1.29;0.12;0.49;3.17;89.0;78.0;7.7;1010.0;Team Bondi;M;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;M
92;Spider-Man;PS;2000;Action;Activision;1.7;1.25;0.02;0.16;3.13;87.0;19.0;9.0;107.0;Neversoft Entertainment;E;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;T
94;Sonic Rush;DS;2005;Platform;Sega;1.21;1.56;0.06;0.29;3.12;82.0;43.0;8.5;101.0;Dimps Corporation, Sonic Team;E;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
95;Personal Trainer: Cooking;DS;2006;Misc;Nintendo;0.9;1.0;1.03;0.17;3.11;81.0;12.0;7.8;10.0;Indies Zero;E;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
96;The Legend of Zelda: A Link Between Worlds;3DS;2013;Action;Nintendo;1.4;1.01;0.46;0.23;3.1;91.0;81.0;8.9;1057.0;Nintendo;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;E
97;Mass Effect 2;X360;2010;Role-Playing;Electronic Arts;1.99;0.81;0.03;0.27;3.1;96.0;98.0;8.9;3143.0;BioWare;M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
98;Madden NFL 2002;PS2;2001;Sports;Electronic Arts;2.5;0.16;0.01;0.42;3.08;94.0;23.0;7.9;46.0;EA Sports;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
99;Animal Crossing: Happy Home Designer;3DS;2015;Simulation;Nintendo;0.51;1.02;1.4;0.12;3.05;66.0;60.0;6.9;106.0;Nintendo;E;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;T
100;The Sims 4;PC;2014;Simulation;Electronic Arts;1.0;1.82;0.0;0.23;3.05;70.0;74.0;3.9;2057.0;Maxis;T;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;T
101;Borderlands 2;X360;2012;Shooter;Take-Two Interactive;1.89;0.88;0.04;0.25;3.05;89.0;59.0;8.2;892.0;Gearbox Software;M;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;M
102;Mass Effect 3;X360;2012;Role-Playing;Electronic Arts;1.94;0.84;0.03;0.24;3.04;93.0;74.0;5.8;3725.0;BioWare;M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
104;Far Cry 3;PS3;2012;Shooter;Ubisoft;0.88;1.7;0.1;0.67;3.35;90.0;32.0;8.5;1041.0;Ubisoft Montreal;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;M
105;Devil May Cry;PS2;2001;Action;Capcom;1.36;0.86;0.64;0.13;2.99;94.0;37.0;8.5;466.0;Capcom;M;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;M
106;Sonic Heroes;PS2;2003;Platform;Sega;1.04;1.37;0.06;0.49;2.96;64.0;29.0;7.8;94.0;Sonic Team;E;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
107;Hitman 2: Silent Assassin;PS2;2002;Action;Eidos Interactive;1.36;1.15;0.04;0.41;2.96;85.0;19.0;7.8;78.0;Io Interactive;M;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;M
108;Mass Effect;X360;2007;Role-Playing;Microsoft Game Studios;1.83;0.79;0.03;0.27;2.91;91.0;74.0;8.7;1692.0;BioWare;M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
109;Sonic Mega Collection Plus;PS2;2004;Misc;Sega;1.54;1.14;0.0;0.22;2.9;73.0;21.0;8.6;30.0;Sonic Team;E;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
110;Mortal Kombat;PS3;2011;Fighting;Warner Bros. Interactive Entertainment;1.98;0.53;0.0;0.34;2.84;84.0;60.0;8.4;494.0;NetherRealm Studios;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;M
111;BioShock;X360;2007;Shooter;Take-Two Interactive;1.65;0.85;0.05;0.28;2.83;96.0;88.0;8.9;2249.0;Irrational Games, 2K Marin;M;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;M
115;inFAMOUS: Second Son;PS4;2014;Action;Sony Computer Entertainment;1.28;0.98;0.07;0.46;2.79;80.0;90.0;7.9;2944.0;Sucker Punch;T;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
116;Jak II;PS2;2003;Platform;Sony Computer Entertainment;1.68;0.74;0.0;0.36;2.78;87.0;47.0;8.2;241.0;Naughty Dog;T;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;T
117;Need for Speed: Hot Pursuit;PS3;2010;Racing;Electronic Arts;1.05;1.23;0.03;0.47;2.78;89.0;59.0;7.2;301.0;Criterion Games;E10+;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;ET
118;The Sims;PS2;2003;Simulation;Electronic Arts;1.41;1.12;0.0;0.24;2.77;83.0;33.0;7.7;46.0;Edge of Reality;T;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;T
120;Saints Row: The Third;X360;2011;Action;THQ;1.25;1.14;0.07;0.3;2.76;84.0;70.0;7.6;490.0;Volition Inc.;M;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;M
121;Sonic and the Secret Rings;Wii;2007;Platform;Sega;1.21;1.19;0.04;0.29;2.73;69.0;44.0;6.6;174.0;Sonic Team;E;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
123;Onimusha: Warlords;PS2;2001;Action;Virgin Interactive;0.99;0.48;1.09;0.14;2.7;86.0;23.0;8.2;56.0;Capcom;M;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
124;L.A. Noire;PS3;2011;Adventure;Take-Two Interactive;1.27;1.29;0.12;0.49;3.17;89.0;78.0;7.7;1010.0;Team Bondi;M;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;M
